name,categories,lat,lng,state,s_asia
Tumeric Indian Bistro,Indian Restaurant,33.760372161865234,-84.38682556152344,GA,1
Planet Bombay,Indian Restaurant,33.74199703009339,-84.34938580412,GA,1
Desi Spice 2.0,Indian Restaurant,33.77623619659428,-84.38445348395584,GA,1
Thati,Indian Restaurant,33.796734328543906,-84.2802419192934,GA,1
Gulistan Dil Pasand,Indian Restaurant,33.798946,-84.279686,GA,1
Bombay Bites,Indian Restaurant,33.460608,-84.219025,GA,1
Cilantro Indian Street Food,Indian Restaurant,33.513905,-84.21311,GA,1
Chutney's Indian Cuisine,Indian Restaurant,33.750507749335746,-84.39218105705281,GA,1
Tava & Grill,Indian Restaurant,33.799024,-84.27885890007019,GA,1
masti,Indian Restaurant,33.8145817097116,-84.31079294693045,GA,1
Taste Of India,Indian Restaurant,33.760273,-84.38691,GA,1
Rukma,Indian Restaurant,33.797431538897364,-84.28358870238583,GA,1
Masala Indian Cuisine,Indian Restaurant,33.79829588228474,-84.28121358542775,Georgia,1
Tasty Tawa Grill,North Indian Restaurant,33.80121508379692,-84.27992830937002,Georgia,1
Swapna Indian Cuisine,Indian Restaurant,33.88796319970681,-84.47286870520514,GA,1
Pinch Of Spice,Indian Restaurant,34.004875612369915,-84.57312184171185,GA,1
Taj Mahal Grill,Indian Restaurant,34.000716311518765,-84.5885177540173,GA,1
Haveli Indian Cuisine,Indian Restaurant,33.939864598751996,-84.50842970297722,GA,1
Lahore Grill,Indian Restaurant,33.9067765107923,-84.48939587031633,GA,1
Moon Indian Cuisine,Indian Restaurant,34.020861528993535,-84.55576950296484,GA,1
Tandoor,Indian Restaurant,33.94486044943755,-84.49776654883964,GA,1
Vatica,Indian Restaurant,33.91600377792076,-84.46942996282226,GA,1
Mint Leaf,North Indian Restaurant,33.882708765005944,-84.48686320373939,GA,1
Tanvi's Indian Cuisine,Indian Restaurant,33.88286828159213,-84.47815487087469,GA,1
Sri Krishna Vilas,Indian Restaurant,33.882858594534135,-84.47810825301079,GA,1
Bollywood Zing Indian Bistro,Indian Restaurant,33.8854549,-84.4779472,GA,1
Shahi Naan & Curry,Pakistani Restaurant,33.96885393416672,-84.48750123381613,GA,1
Sitara Grand Indian Cuisine,Indian Restaurant,33.883277,-84.477736,GA,1
taj biryani,Indian Restaurant,33.88295565366318,-84.48662642190017,GA,1
Karachi Broast & Grill,Pakistani Restaurant,33.914654,-84.469666,GA,1
Indian Station (SSC),Indian Restaurant,33.86443332624163,-84.48202565279605,GA,1
Unique Indian Cuisine,Indian Restaurant,33.88514,-84.47673,GA,1
Curry Village,Indian Restaurant,34.048223649210286,-84.60124433040619,GA,1
bollywood zing,Indian Restaurant,33.885469,-84.477373,GA,1
Wild Roots of India,Indian Restaurant,33.88294503423686,-84.47809575578286,GA,1
Madras Mantra,Indian Restaurant,33.904006,-84.486206,GA,1
curry leaf,Indian Restaurant,33.90470535663694,-84.46562076417972,GA,1
Aachi's Indian Restaurant,Indian Restaurant,33.882786,-84.478091,GA,1
Suvidha,Gourmet Shop,34.01245833590929,-84.56107201269167,Georgia,1
SubRas Indian grill,North Indian Restaurant,33.923449,-84.466478,GA,1
Bhojanic,Indian Restaurant,33.84616592831564,-84.36513869578853,GA,1
Panahar Bangladeshi Cuisine,Indian Restaurant,33.84244275351559,-84.32720137539098,GA,1
Purnima,Indian Restaurant,33.877129830779495,-84.293216682349,GA,1
Viceroy,Indian Restaurant,33.93188845040086,-84.33283195856251,GA,1
Heart Of India,Indian Restaurant,33.886695362144216,-84.25513590660347,GA,1
Moon Indian Cuisine,Indian Restaurant,33.89212979860848,-84.32585875196041,GA,1
Bawarchi Biryani Point,Indian Restaurant,33.9359516692525,-84.37700310442649,GA,1
India Chef,Indian Restaurant,34.03198176232171,-84.33937090391228,GA,1
